name,cuisines,opening_time,call,mark,review_number,location_txt,location_url,location_latitude,location_longitude
" 
Farina 00 Pasta & Wine",Italian,Opens at 5:30pm,+61882711109,3.6,53,"128 King William Road, Unley, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9532939000,138.5994080000",-34.9532939000,138.5994080000
" 
Electra House Hotel","Australian,Japanese",Opens at 11am,+61871234055,3.3,61,"131-137 King William Street, City Centre, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9263605821,138.5995902121",-34.9263605821,138.5995902121
Cha-Chi's Mexican Cantina,Mexican,Opens at 6pm,+61883797171,3.8,129,"493 Portrush Road, Glenunga","https://www.google.com/maps/dir/?api=1&destination=-34.9467199127,138.6428408325",-34.9467199127,138.6428408325
Abyssinian Restaurant,African,Opens at 5:30pm,+61884434300,3.8,99,"126 Henley Beach Road, Torrensville, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9237722222,138.5671388889",-34.9237722222,138.5671388889
" 
Le Souk","African,Coffee and Tea,Cafe Food",Opens at 7:30am,+61455290325,4.0,56,"Stall 10, Adelaide Central Markets, 44-60 Gouger Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9298479074,138.5975956849",-34.9298479074,138.5975956849
" 
Montezuma's","Latin American,Mexican",Opens at 12noon,+61882390949,2.4,127,"134 Melbourne Street, North Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9072590675,138.6068033427",-34.9072590675,138.6068033427
" 
Lezizz","Middle Eastern,Iranian",Opens at 5:30pm,+61870063887,4.0,61,"108, Melbourne Street North, Eastwood, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9067828122,138.6074943706",-34.9067828122,138.6074943706
Burganomix,Burger,Opens at 11am,+61872263730,3.5,72,"Shop 2/1 Colley Terrace, Glenelg","https://www.google.com/maps/dir/?api=1&destination=-34.9800739736,138.5125304818",-34.9800739736,138.5125304818
" 
Regattas Bistro + Bar",Modern Australian,Opens at 5pm,+61882106785,3.5,111,"North Terrace/Riverbank Promenade (Behind the Convention Centre), Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9216310000,138.5979000000",-34.9216310000,138.5979000000
" 
The Bridgewater Mill","Asian,European,Modern Australian",Opens at 11am,+61883399200,4.0,80,"Mount Barker Road, Bridgewater, Bridgewater, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-35.0087350000,138.7580970000",-35.0087350000,138.7580970000
" 
Crema on Jetty",Italian,Opens at 7:30am,+61882941431,3.1,98,"8-10 Jetty Road, Glenelg, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9805370000,138.5125580000",-34.9805370000,138.5125580000
" 
Kings Head Hotel","Modern Australian,Pub Food",Opens at 11am,+61882126657,3.9,106,"357 King William Street, Adelaide, City Centre, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9326792136,138.6000237241",-34.9326792136,138.6000237241
" 
Cafe Va Bene","Italian,Coffee and Tea,Cafe Food",Opens at 8:30am,+61883653637,3.8,98,"Shop 8, 636 Lower North East Road, Campbelltown","https://www.google.com/maps/dir/?api=1&destination=-34.8771166667,138.6650694444",-34.8771166667,138.6650694444
Paesano,Italian,Opens at 7am,+61882671118,3.6,128,"North Adelaide Village, 81 O'Connell Street, North Adelaide, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9067860000,138.5959840000",-34.9067860000,138.5959840000
Duthy Street Deli,"Coffee and Tea,Cafe Food",Opens at 7am,+61882712327,3.2,102,"31 Duthy Street, Unley","https://www.google.com/maps/dir/?api=1&destination=-34.9520279053,138.6144915596",-34.9520279053,138.6144915596
" 
Korea Jung",Korean,Opens at 11:30am,+61882319551,3.8,55,"13 Leigh Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9235231281,138.5978735983",-34.9235231281,138.5978735983
" 
The Lab","Coffee and Tea,Cafe Food",Opens at 7:30am,+61883620316,3.5,28,"313 Payneham Road, Royston Park, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.8998405000,138.6366526000",-34.8998405000,138.6366526000
Simply Sushi,"Japanese,Sushi",Opens at 12noon,+61882945514,3.9,98,"108 Jetty Road, Glenelg, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9803660000,138.5161130000",-34.9803660000,138.5161130000
" 
Casuarina Malaysian Bistro","Asian,Malaysian,Thai",Opens at 11am,+61882987522,3.1,90,"Level 2, 297 Diagonal Road, Westfield Marion, Oaklands Park","https://www.google.com/maps/dir/?api=1&destination=-35.0171435263,138.5456932336",-35.0171435263,138.5456932336
Pancakes at the Port,"Desserts,Coffee and Tea,Cafe Food",Opens at 8am,+61884471877,3.7,83,"1 Mercantile Dock, Port Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.8418472222,138.5052333333",-34.8418472222,138.5052333333
" 
Hotaru Japanese Restaurant","Asian,Japanese",Opens at 11:30am,+61884102838,3.1,73,"162-164 Gouger Street, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9303166667,138.5930777778",-34.9303166667,138.5930777778
" 
Mother Vine Wine Bar",Bar Food,Opens at 3pm,+61882272273,4.0,55,"22-26 Vardon Avenue, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9228512733,138.6100585386",-34.9228512733,138.6100585386
" 
The Watershed","Coffee and Tea,Cafe Food",Opens at 8am,+61882508070,3.2,87,"665 Salisbury Highway, Mawson Lakes","https://www.google.com/maps/dir/?api=1&destination=-34.8062319000,138.6009387000",-34.8062319000,138.6009387000
Cinnamon Club,Indian,Opens at 12noon,+61884313311,3.5,70,"211a The Parade, Norwood, Adelaide","https://www.google.com/maps/dir/?api=1&destination=-34.9208904000,138.6386270000",-34.9208904000,138.6386270000
Inglewood Inn,"Pizza,Bar Food,Modern Australian",Opens at 12noon,+61883805325,3.9,91,"1931 North East Road, Inglewood","https://www.google.com/maps/dir/?api=1&destination=-34.8253829000,138.7661477000",-34.8253829000,138.7661477000
