,route-number,description,url
10,117 - Port Adelaide Interchange to City,"via Bartley Tce, West Lakes, Tapleys Hill Rd and Crittenden Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F117&auth=28aeZJXal2LlL0jZyg8VaA&profile=_default&rank=11&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
11,118 - Port Adelaide Interchange to City,via Tapleys Hill Rd and Crittenden Rd,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F118&auth=rp6ik9tXQkAznyum5dpmCQ&profile=_default&rank=12&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
12,140 - City to Glen Osmond,via The Parade and Portrush Rd (operates Monday - Friday excluding public holidays),https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F140&auth=ecQnFkkE6vSndv6CS1nBYw&profile=_default&rank=13&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
13,141 - Stonyfell to City,via Hallett Rd and Kensington Rd,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F141&auth=ciyH8hhAVLJmxqB%2BUsJe6Q&profile=_default&rank=14&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
14,142 - Burnside to City,via Glynburn Rd and Kensington Rd,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F142&auth=XCJEOBo6tb4rFtj5Ot6j0g&profile=_default&rank=15&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
15,144 - Glen Osmond to City,via Portrush Rd and Grant Ave,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F144&auth=6zkVBf1moz1rbdv%2BMP0BrA&profile=_default&rank=16&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
16,144G - City to Toorak Gardens,"via Grant Ave (terminates at stop 7 Grant Ave, Toorak Gardens)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F144g&auth=xc2QttcfWyVaw7VTG7KVAw&profile=_default&rank=17&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
17,147 - Beaumont to City,via Devereux Rd and Dulwich Ave,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F147&auth=tkgG%2FMLFtDfxJBJy8nMJPw&profile=_default&rank=18&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
18,150 - Osborne to City,"via Victoria Rd, Fletcher Rd and Port Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F150&auth=FjfIEMbYNPOU%2FqO9aCBIfQ&profile=_default&rank=19&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
19,150B - City to Largs Bay,"via Port Rd and Fletcher Rd (terminates at stop 48 Fletcher Rd, Largs Bay)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F150b&auth=rCl0uoRrbAOfN55np%2FjySA&profile=_default&rank=20&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
20,150P - City to Port Adelaide Interchange,via Port Rd (terminates at Port Adelaide Interchange),https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F150p&auth=V%2FW7iP578dS8F9roSEddQw&profile=_default&rank=21&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
21,155 - West Lakes Centre Interchange to City,via West Lakes Blvd and Port Rd,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F155&auth=6y3AB6zvGVRyUxznPsZ7yQ&profile=_default&rank=22&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
22,157 - Largs Bay to City,"via Military Rd, West Lakes, Port Rd and Currie St",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F157&auth=tx20D0UabAHhA%2FCDUTnhKg&profile=_default&rank=23&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
23,157X - Largs Bay to City,"via Military Rd, West Lakes Blvd, West Lakes Interchange then express to city (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F157x&auth=8rX6P%2BrmyupgKek8D3i1Xg&profile=_default&rank=24&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
24,163 - City to West Beach,via Sir Donald Bradman Dr and Military Rd (operates Monday - Friday excluding public holidays),https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F163&auth=aiAjNacNrxYkhvwb1KRetA&profile=_default&rank=25&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
25,167 - Glenelg Interchange to City,"via Glenelg North, Mooringe Ave and Richmond Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F167&auth=apQbdxG9OE26JSx%2F2iyM%2Fg&profile=_default&rank=26&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
26,167C - City to Camden Park,"via Richmond Rd and Mooringe Ave (terminates at Stop 15 Mooringe Ave, Camden Park)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F167c&auth=f0fW0qJp72OlWnBQOvaPeQ&profile=_default&rank=27&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
27,168 - Glenelg Interchange to City,"via Glenelg North, Harvey Ave and Richmond Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F168&auth=Z4%2FyOYP2TsllNDrP%2FSo8Pw&profile=_default&rank=28&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
28,170 - Urrbrae to City,via Cross Rd and Duthy St (operates Monday - Friday excluding public holidays),https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F170&auth=O6YLYgTiRGh5cF%2B9l9ecOg&profile=_default&rank=29&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
29,171 - Mitcham Square to City,via Princes Rd and Fullarton Rd,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F171&auth=t7UxhpX1TG01UEAH0Q1c9A&profile=_default&rank=30&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
30,171A - City to Highgate,"via Fullarton Rd (terminates at stop 12 Fullarton Rd, Highgate)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F171a&auth=o2TVZK3JVm%2BwWTo8LFFCqQ&profile=_default&rank=31&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
31,172 - Kingswood to City,via Harrow Tce and Duthy St,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F172&auth=3LfZTPh%2BjuvatR42pnB1iA&profile=_default&rank=32&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
32,173 - Blackwood Interchange to City,"via Main Rd, Belair Rd, Blythewood Rd and Fullarton Rd (operates school days only)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F173&auth=%2FmnioFKMMQXhH1k07vnfmg&profile=_default&rank=33&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
33,174 - Paradise Interchange to City,via Lower North East Rd and Payneham Rd,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F174&auth=age0U7zkjkQnyE6qO9IXNg&profile=_default&rank=34&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
34,176 - Athelstone to City,"via Gorge Rd, Reserve Rd and Payneham Rd (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F176&auth=5UGdiP6MyKWJjBBki%2BxO2A&profile=_default&rank=35&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
35,176G - City to Newton,"via Payneham Rd, Reserve Rd and Gorge Rd (terminates at stop 27 Gorge Rd, Newton)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F176g&auth=UMldk6rJprNiDnOx8CRzTQ&profile=_default&rank=36&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
36,178 - Paradise Interchange to City,"via Lower Athelstone Rd, Montacute Rd and Payneham Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F178&auth=5r0HYZ4MWiqVDlQb2140XQ&profile=_default&rank=37&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
37,178A - Paradise Interchange to Athelstone,"via Lower Athelstone Rd and Gorge Rd (terminates at stop 34 Gorge Rd, Athelstone)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F178a&auth=vqONYH%2ByGhxICpbJ6vNqog&profile=_default&rank=38&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
38,178M - City to Athelstone,"via Payneham Rd, Montacute Rd and Maryvale Rd (terminates at stop 33M Maryvale Rd, Athelstone)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F178m&auth=Xksxm6%2FIMEsyvXQ1jbGeGA&profile=_default&rank=39&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
39,178S - City to Newton,"via Payneham Rd and Montacute Rd (terminates at stop 26 Montacute Rd, Newton)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F178s&auth=Qba%2BGs0v5II0pN1D1Kw15Q&profile=_default&rank=40&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
40,178X - Paradise Interchange to City,"via Lower Athelstone Rd, Montacute Rd, Payneham Rd then express from stop 17 Payneham Rd, Glynde to city (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F178x&auth=R%2Fz1NCltdjUqHUSerMeMKw&profile=_default&rank=41&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
41,190 - Glenelg Interchange to City,"via Cliff St, Raglan Ave, Edward St, Mitcham and Unley Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F190&auth=nxRDx7gzRYrvNaD3KfqOsQ&profile=_default&rank=42&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
42,190B - City to Mitcham Square,"via Unley Rd and Mitcham (terminates at stop 12 Belair Rd, Mitcham)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F190b&auth=4ry38nwl7cDvUnTMkgh84w&profile=_default&rank=43&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
43,195 - Blackwood Interchange to City,"via Hawthorndene, Belair Rd, Mitcham and Unley Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F195&auth=aaqU9ekajd67BB3U7qYUnQ&profile=_default&rank=44&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
44,195F - Blackwood Interchange to City,"via Hawthorndene, Belair Rd, Mitcham and Unley Rd (limited stop service, operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F195f&auth=FrVn6Dui9eX3qgwdhtTuyA&profile=_default&rank=45&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
45,196 - Blackwood Interchange to City,"via Hawthorndene, Gloucester Ave, Mitcham and Unley Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F196&auth=YM5yCBJ8pa%2FZ3VYF9BVZIQ&profile=_default&rank=46&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
46,196F - Blackwood Interchange to City,"via Hawthorndene, Gloucester Ave, Mitcham and Unley Rd (limited stop service, operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F196f&auth=yn6oE6B%2F2EJY0sUxMm5YnA&profile=_default&rank=47&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
47,197X - Coromandel Station to City,via Main Rd and Belair Rd (express service operates Monday - Friday excluding public holidays),https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F197x&auth=5CIpbtXDqIaOoiHpFpt2RA&profile=_default&rank=48&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
48,200 - Marion Centre Interchange to City,"via Flinders Medical Centre, Eliza Pl, Clapham and King William Rd",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F200&auth=pcgzgX3bTqvTzoIfLpqh6g&profile=_default&rank=49&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
49,200B - Marion Centre Interchange to City,"via Flinders Medical Centre, Eliza Pl, Boothby St, and King William Rd (operates Monday-Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F200b&auth=87V6JmT6JoJHaDp09KSoBQ&profile=_default&rank=50&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
50,200C - City to Clapham,"via King William Rd, Hilda Tce and Boothby St (terminates at stop 20 Boothby St, Clapham)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F200c&auth=jcrIwmalHD9p3UjnrJmkyA&profile=_default&rank=51&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
51,202 - Ingle Farm to City,"via Hampstead Rd, North East Rd and Melbourne St",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F202&auth=eOc47wAcfSQ1AiPs7clI0A&profile=_default&rank=52&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
52,202F - Ingle Farm to City,"via Hampstead Rd, North East Rd and Melbourne St (limited stop service, operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F202f&auth=Da7ehc3lCBOUq%2BvFECzhSQ&profile=_default&rank=53&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
53,203 - Tea Tree Plaza Interchange to City,"via Milne Rd, Beovich Rd, Ingle Farm, Hampstead Rd and Melbourne St",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F203&auth=DICHaZg26j97o%2BYqmhIBEQ&profile=_default&rank=54&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
54,203B - City to Ingle Farm,"via Melbourne St, Hampstead Rd and Baldock Rd (terminates at stop 47 Baldock Rd, Ingle Farm)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F203b&auth=fasF2rP%2FeYe7A4%2FWte5ibA&profile=_default&rank=55&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
55,203F - Tea Tree Plaza Interchange to City,"via Milne Rd, Beovich Rd, Ingle Farm, Hampstead Rd and Melbourne St (limited stop service, operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F203f&auth=I15g944QE3GU2YSYUbtitg&profile=_default&rank=56&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
56,206 - Northgate to City,"via Broadview, Galway Ave and Melbourne St (operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F206&auth=ymrYcPSdkwWCbzNhN85dNA&profile=_default&rank=57&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
57,208 - Paradise Interchange to City,"via Sudholz Rd, Sir Ross Smith Blvd, Northgate, Broadview, Galway Ave and Melbourne St",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F208&auth=6AE6t9BqGRlOPqUXCDVMzA&profile=_default&rank=58&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
58,208B - City to Broadview,"via Melbourne St, Galway Ave and Regency Rd (terminates at stop 19 Regency Rd, Broadview",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F208b&auth=KUPXY0%2FB%2Fhk0qEDnGluBgA&profile=_default&rank=59&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
59,208N - City to Northgate,"via Melbourne St, Galway Ave, Broadview and Folland Ave (terminates at Stop 26 Folland Ave, Northgate)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F208n&auth=jLeRPAp8BooE0Vs%2F4EBNMw&profile=_default&rank=60&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
60,209F - Tea Tree Plaza Interchange to City,"via Milne Rd, Beovich Rd, Ingle Farm, Hampstead Rd, Regency Rd and Main North Rd (limited stop service, operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F209f&auth=flbxYvc0EIfX5vp3Fz0L4w&profile=_default&rank=61&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
61,222 - Mawson Interchange to City,via Main North Rd and O'Connell St,https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F222&auth=iRWA%2FC2XJ4DWawQtXaDkJQ&profile=_default&rank=62&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
62,222R - City to Mawson Interchange,"via O'Connell St, Main North Rd and Roma Mitchell Secondary College (operates school days only)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F222r&auth=42JMKVEQLfb3SQCiYSRICA&profile=_default&rank=63&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
63,224 - Elizabeth Interchange to City,"via Philip Hwy, Lyell McEwin Hospital, Salisbury, Salisbury Hwy, Mawson Lakes, Main North Rd and O'Connell St",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F224&auth=Em4W%2Br9XmiU%2Ft0G7KQrgPA&profile=_default&rank=64&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
64,224F - Elizabeth Interchange to City,"via Philip Hwy, Lyell McEwin Hospital, Salisbury, Salisbury Hwy, Mawson Lakes, Main North Rd and O'Connell St (limited stop service, operates Monday - Friday excluding public holidays)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F224f&auth=yHcm0Y00yvuQ6CrDBTXavw&profile=_default&rank=65&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
65,224M - Elizabeth Interchange to Mawson Interchange,"via Philip Hwy, Lyell McEwin Hospital, Salisbury, Salisbury Hwy and Mawson Lakes (terminates at Mawson Interchange)",https://dtei-search.squiz.cloud/s/redirect?collection=adl-metro-routes&url=https%3A%2F%2Fwww.adelaidemetro.com.au%2Froutes%2F224m&auth=J%2FukyJPiQSuSo7rYL0S5AA&profile=_default&rank=66&query=%21padrenull+%7CrouteMode%3A%22%24%2B%2B+3+%24%2B%2B%22
