Futures		Contract		Contract		Futures		Options		Options
Code		Month		Type		Exp Date		Code		Exp Date
-------		-------		-------		-------		-------		-------		
CL		2021-10		Fut		2021-09-21		 		 
CL		2021-11		Fut		2021-10-20		 		 
CL		2021-12		Fut		2021-11-19		 		 
CL		2022-01		Fut		2021-12-20		 		 
CL		2022-02		Fut		2022-01-20		 		 
CL		2022-03		Fut		2022-02-22		 		 
CL		2022-04		Fut		2022-03-22		 		 
CL		2022-05		Fut		2022-04-20		 		 
CL		2022-06		Fut		2022-05-20		 		 
CL		2022-07		Fut		2022-06-21		 		 
CL		2022-08		Fut		2022-07-20		 		 
CL		2022-09		Fut		2022-08-22		 		 
CL		2022-10		Fut		2022-09-20		 		 
CL		2022-11		Fut		2022-10-20		 		 
CL		2022-12		Fut		2022-11-21		 		 
CL		2023-01		Fut		2022-12-20		 		 
CL		2023-02		Fut		2023-01-20		 		 
CL		2023-03		Fut		2023-02-21		 		 
CL		2023-04		Fut		2023-03-21		 		 
CL		2023-05		Fut		2023-04-20		 		 
CL		2023-06		Fut		2023-05-22		 		 
CL		2023-07		Fut		2023-06-20		 		 
CL		2023-08		Fut		2023-07-20		 		 
CL		2023-09		Fut		2023-08-22		 		 
CL		2023-10		Fut		2023-09-20		 		 
CL		2023-11		Fut		2023-10-20		 		 
CL		2023-12		Fut		2023-11-20		 		 
CL		2021-10		Opt		 		LO		2021-09-16
CL		2021-11		Opt		 		LO		2021-10-15
CL		2021-12		Opt		 		LO		2021-11-16
CL		2022-01		Opt		 		LO		2021-12-15
CL		2022-02		Opt		 		LO		2022-01-14
CL		2022-03		Opt		 		LO		2022-02-16
CL		2022-04		Opt		 		LO		2022-03-17
CL		2022-05		Opt		 		LO		2022-04-14
CL		2022-06		Opt		 		LO		2022-05-17
CL		2022-07		Opt		 		LO		2022-06-16
CL		2022-08		Opt		 		LO		2022-07-15
CL		2022-09		Opt		 		LO		2022-08-17
CL		2022-10		Opt		 		LO		2022-09-15
CL		2022-11		Opt		 		LO		2022-10-17
CL		2022-12		Opt		 		LO		2022-11-16
CL		2023-01		Opt		 		LO		2022-12-15
CL		2023-02		Opt		 		LO		2023-01-17
CL		2023-03		Opt		 		LO		2023-02-15
CL		2023-04		Opt		 		LO		2023-03-16
CL		2023-05		Opt		 		LO		2023-04-17
CL		2023-06		Opt		 		LO		2023-05-17
CL		2023-07		Opt		 		LO		2023-06-15
CL		2023-08		Opt		 		LO		2023-07-17
CL		2023-09		Opt		 		LO		2023-08-17
CL		2023-12		Opt		 		LO		2023-11-15

Futures		Contract		Contract		Strike		Settlement
CL		2021-10		Put		10.50		0.01
CL		2021-10		Call		11.00		58.10
CL		2021-10		Put		11.00		0.01
CL		2021-10		Call		11.50		57.60
CL		2021-10		Put		11.50		0.01
CL		2021-10		Call		12.00		57.29
CL		2021-10		Put		12.00		0.01
CL		2021-10		Call		12.50		56.60
CL		2021-10		Put		12.50		0.01
CL		2021-10		Call		13.00		56.10
CL		2021-10		Put		13.00		0.01
CL		2021-10		Call		13.50		55.60
CL		2021-10		Put		13.50		0.01
CL		2021-10		Call		14.00		55.10
CL		2021-10		Put		14.00		0.01
CL		2021-10		Call		14.50		54.60
CL		2021-10		Put		14.50		0.01
CL		2021-10		Call		15.00		54.10
CL		2021-10		Put		15.00		0.01
CL		2021-10		Call		15.50		53.60
CL		2021-10		Put		15.50		0.01
CL		2021-10		Call		16.00		53.29
CL		2021-10		Put		16.00		0.01
CL		2021-10		Call		16.50		52.60
CL		2021-10		Put		16.50		0.01
CL		2021-10		Call		17.00		52.10
CL		2021-10		Put		17.00		0.01
CL		2021-10		Call		17.50		51.60
CL		2021-10		Put		17.50		0.01
CL		2021-10		Call		18.00		51.10
CL		2021-10		Put		18.00		0.01
CL		2021-10		Call		18.50		50.60
CL		2021-10		Put		18.50		0.01
CL		2021-10		Call		19.00		50.10
CL		2021-10		Put		19.00		0.01
CL		2021-10		Call		19.50		49.60
CL		2021-10		Put		19.50		0.01
CL		2021-10		Call		20.00		49.10
CL		2021-10		Put		20.00		0.01
CL		2021-10		Call		20.50		48.60
CL		2021-10		Put		20.50		0.01
CL		2021-10		Call		21.00		48.10
CL		2021-10		Put		21.00		0.01
CL		2021-10		Call		21.50		47.60
CL		2021-10		Put		21.50		0.01
CL		2021-10		Call		22.00		47.10
CL		2021-10		Put		22.00		0.01
CL		2021-10		Call		22.50		46.60
CL		2021-10		Put		22.50		0.01
CL		2021-10		Call		23.00		46.10
CL		2021-10		Put		23.00		0.01
CL		2021-10		Call		23.50		45.60
CL		2021-10		Put		23.50		0.01
CL		2021-10		Call		24.00		45.29
CL		2021-10		Put		24.00		0.01
CL		2021-10		Call		24.50		44.60
CL		2021-10		Put		24.50		0.01
CL		2021-10		Call		25.00		44.10
CL		2021-10		Put		25.00		0.01
CL		2021-10		Call		25.50		43.79
CL		2021-10		Put		25.50		0.01
CL		2021-10		Call		26.00		43.10
CL		2021-10		Put		26.00		0.01
CL		2021-10		Call		26.50		42.60
CL		2021-10		Put		26.50		0.01
CL		2021-10		Call		27.00		42.10
CL		2021-10		Put		27.00		0.01
CL		2021-10		Call		27.50		41.60
CL		2021-10		Put		27.50		0.01
CL		2021-10		Call		28.00		41.10
CL		2021-10		Put		28.00		0.01
CL		2021-10		Call		28.50		40.60
CL		2021-10		Put		28.50		0.01
CL		2021-10		Call		29.00		40.10
CL		2021-10		Put		29.00		0.01
CL		2021-10		Call		29.50		39.60
CL		2021-10		Put		29.50		0.01
CL		2021-10		Call		30.00		39.10
CL		2021-10		Put		30.00		0.01
CL		2021-10		Call		30.50		38.60
CL		2021-10		Put		30.50		0.01
CL		2021-10		Call		31.00		38.10
CL		2021-10		Put		31.00		0.01
CL		2021-10		Call		31.50		37.60
CL		2021-10		Put		31.50		0.01
CL		2021-10		Call		32.00		37.10
CL		2021-10		Put		32.00		0.01
CL		2021-10		Call		32.50		36.60
CL		2021-10		Put		32.50		0.01
CL		2021-10		Call		33.00		36.10
CL		2021-10		Put		33.00		0.01
CL		2021-10		Call		33.50		35.60
CL		2021-10		Put		33.50		0.01
CL		2021-10		Call		34.00		35.10
CL		2021-10		Put		34.00		0.01
CL		2021-10		Call		34.50		34.60
CL		2021-10		Put		34.50		0.01
CL		2021-10		Call		35.00		34.10
CL		2021-10		Put		35.00		0.01
CL		2021-10		Call		35.50		33.60
CL		2021-10		Put		35.50		0.01
CL		2021-10		Call		36.00		33.10
CL		2021-10		Put		36.00		0.01
CL		2021-10		Call		36.50		32.60
CL		2021-10		Put		36.50		0.01
CL		2021-10		Call		37.00		32.10
CL		2021-10		Put		37.00		0.01
CL		2021-10		Call		37.50		31.60
CL		2021-10		Put		37.50		0.01
CL		2021-10		Call		38.00		31.10
CL		2021-10		Put		38.00		0.01
CL		2021-10		Call		38.50		30.60
CL		2021-10		Put		38.50		0.01
CL		2021-10		Call		39.00		30.10
CL		2021-10		Put		39.00		0.01
CL		2021-10		Call		39.50		29.60
CL		2021-10		Put		39.50		0.01
CL		2021-10		Call		40.00		29.29
CL		2021-10		Put		40.00		0.01
CL		2021-10		Call		40.50		28.79
CL		2021-10		Put		40.50		0.01
CL		2021-10		Call		41.00		28.29
CL		2021-10		Put		41.00		0.01
CL		2021-10		Call		41.50		27.60
CL		2021-10		Put		41.50		0.01
CL		2021-10		Call		42.00		27.29
CL		2021-10		Put		42.00		0.01
CL		2021-10		Call		42.50		26.79
CL		2021-10		Put		42.50		0.01
CL		2021-10		Call		43.00		26.29
CL		2021-10		Put		43.00		0.01
CL		2021-10		Call		43.50		25.79
CL		2021-10		Put		43.50		0.01
CL		2021-10		Call		44.00		25.29
CL		2021-10		Put		44.00		0.01
CL		2021-10		Call		44.50		24.79
CL		2021-10		Put		44.50		0.01
CL		2021-10		Call		45.00		24.29
CL		2021-10		Put		45.00		0.01
CL		2021-10		Call		45.50		23.79
CL		2021-10		Put		45.50		0.01
CL		2021-10		Call		46.00		23.29
CL		2021-10		Put		46.00		0.01
CL		2021-10		Call		46.50		22.79
CL		2021-10		Put		46.50		0.01
CL		2021-10		Call		47.00		22.29
CL		2021-10		Put		47.00		0.01
CL		2021-10		Call		47.50		21.79
CL		2021-10		Put		47.50		0.01
CL		2021-10		Call		48.00		21.29
CL		2021-10		Put		48.00		0.01
CL		2021-10		Call		48.50		20.79
CL		2021-10		Put		48.50		0.01
CL		2021-10		Call		49.00		20.29
CL		2021-10		Put		49.00		0.01
CL		2021-10		Call		49.50		19.79
CL		2021-10		Put		49.50		0.01
CL		2021-10		Call		50.00		19.29
CL		2021-10		Put		50.00		0.01
CL		2021-10		Call		50.50		18.79
CL		2021-10		Put		50.50		0.01
CL		2021-10		Call		51.00		18.29
CL		2021-10		Put		51.00		0.01
CL		2021-10		Call		51.50		17.79
CL		2021-10		Put		51.50		0.01
CL		2021-10		Call		52.00		17.29
CL		2021-10		Put		52.00		0.01
CL		2021-10		Call		52.50		16.80
CL		2021-10		Put		52.50		0.01
CL		2021-10		Call		53.00		16.30
CL		2021-10		Put		53.00		0.01
CL		2021-10		Call		53.50		15.80
CL		2021-10		Put		53.50		0.01
CL		2021-10		Call		54.00		15.30
CL		2021-10		Put		54.00		0.01
CL		2021-10		Call		54.50		14.80
CL		2021-10		Put		54.50		0.01
CL		2021-10		Call		55.00		14.30
CL		2021-10		Put		55.00		0.02
CL		2021-10		Call		55.50		13.81
CL		2021-10		Put		55.50		0.02
CL		2021-10		Call		56.00		13.31
CL		2021-10		Put		56.00		0.02
CL		2021-10		Call		56.50		12.81
CL		2021-10		Put		56.50		0.02
CL		2021-10		Call		57.00		12.31
CL		2021-10		Put		57.00		0.02
CL		2021-10		Call		57.50		11.82
CL		2021-10		Put		57.50		0.03
CL		2021-10		Call		58.00		11.32
CL		2021-10		Put		58.00		0.03
CL		2021-10		Call		58.50		10.83
CL		2021-10		Put		58.50		0.04
CL		2021-10		Call		59.00		10.33
CL		2021-10		Put		59.00		0.04
CL		2021-10		Call		59.50		9.84
CL		2021-10		Put		59.50		0.05
CL		2021-10		Call		60.00		9.35
CL		2021-10		Put		60.00		0.06
CL		2021-10		Call		60.50		8.86
CL		2021-10		Put		60.50		0.07
CL		2021-10		Call		61.00		8.37
CL		2021-10		Put		61.00		0.08
CL		2021-10		Call		61.50		7.88
CL		2021-10		Put		61.50		0.09
CL		2021-10		Call		62.00		7.40
CL		2021-10		Put		62.00		0.11
CL		2021-10		Call		62.50		6.92
CL		2021-10		Put		62.50		0.13
CL		2021-10		Call		63.00		6.44
CL		2021-10		Put		63.00		0.15
CL		2021-10		Call		63.50		5.97
CL		2021-10		Put		63.50		0.18
CL		2021-10		Call		64.00		5.51
CL		2021-10		Put		64.00		0.22
CL		2021-10		Call		64.50		5.05
CL		2021-10		Put		64.50		0.26
CL		2021-10		Call		65.00		4.61
CL		2021-10		Put		65.00		0.32
CL		2021-10		Call		65.50		4.18
CL		2021-10		Put		65.50		0.39
CL		2021-10		Call		66.00		3.76
CL		2021-10		Put		66.00		0.47
CL		2021-10		Call		66.50		3.35
CL		2021-10		Put		66.50		0.56
CL		2021-10		Call		67.00		2.97
CL		2021-10		Put		67.00		0.68
CL		2021-10		Call		67.50		2.60
CL		2021-10		Put		67.50		0.81
CL		2021-10		Call		68.00		2.25
CL		2021-10		Put		68.00		0.96
CL		2021-10		Call		68.50		1.93
CL		2021-10		Put		68.50		1.14
CL		2021-10		Call		69.00		1.63
CL		2021-10		Put		69.00		1.34
CL		2021-10		Call		69.50		1.36
CL		2021-10		Put		69.50		1.57
CL		2021-10		Call		70.00		1.12
CL		2021-10		Put		70.00		1.83
CL		2021-10		Call		70.50		0.90
CL		2021-10		Put		70.50		2.11
CL		2021-10		Call		71.00		0.72
CL		2021-10		Put		71.00		2.43
CL		2021-10		Call		71.50		0.57
CL		2021-10		Put		71.50		2.78
CL		2021-10		Call		72.00		0.45
CL		2021-10		Put		72.00		3.16
CL		2021-10		Call		72.50		0.35
CL		2021-10		Put		72.50		3.56
CL		2021-10		Call		73.00		0.27
CL		2021-10		Put		73.00		3.98
CL		2021-10		Call		73.50		0.21
CL		2021-10		Put		73.50		4.42
CL		2021-10		Call		74.00		0.16
CL		2021-10		Put		74.00		4.87
CL		2021-10		Call		74.50		0.13
CL		2021-10		Put		74.50		5.34
CL		2021-10		Call		75.00		0.11
CL		2021-10		Put		75.00		5.82
CL		2021-10		Call		75.50		0.09
CL		2021-10		Put		75.50		6.30
CL		2021-10		Call		76.00		0.08
CL		2021-10		Put		76.00		6.79
CL		2021-10		Call		76.50		0.07
CL		2021-10		Put		76.50		7.28
CL		2021-10		Call		77.00		0.06
CL		2021-10		Put		77.00		7.77
CL		2021-10		Call		77.50		0.05
CL		2021-10		Put		77.50		8.26
CL		2021-10		Call		78.00		0.04
CL		2021-10		Put		78.00		8.75
CL		2021-10		Call		78.50		0.04
CL		2021-10		Put		78.50		9.25
CL		2021-10		Call		79.00		0.04
CL		2021-10		Put		79.00		9.74
CL		2021-10		Call		79.50		0.03
CL		2021-10		Put		79.50		10.24
CL		2021-10		Call		80.00		0.03
CL		2021-10		Put		80.00		10.74
CL		2021-10		Call		80.50		0.03
CL		2021-10		Put		80.50		11.24
CL		2021-10		Call		81.00		0.02
CL		2021-10		Put		81.00		11.73
CL		2021-10		Call		81.50		0.02
CL		2021-10		Put		81.50		12.23
CL		2021-10		Call		82.00		0.02
CL		2021-10		Put		82.00		12.73
CL		2021-10		Call		82.50		0.02
CL		2021-10		Put		82.50		13.23
CL		2021-10		Call		83.00		0.02
CL		2021-10		Put		83.00		13.73
CL		2021-10		Call		83.50		0.02
CL		2021-10		Put		83.50		14.23
CL		2021-10		Call		84.00		0.02
CL		2021-10		Put		84.00		14.73
CL		2021-10		Call		84.50		0.02
CL		2021-10		Put		84.50		15.23
CL		2021-10		Call		85.00		0.01
CL		2021-10		Put		85.00		15.72
CL		2021-10		Call		85.50		0.01
CL		2021-10		Put		85.50		16.22
CL		2021-10		Call		86.00		0.01
CL		2021-10		Put		86.00		16.72
CL		2021-10		Call		86.50		0.01
CL		2021-10		Put		86.50		17.41
CL		2021-10		Call		87.00		0.01
CL		2021-10		Put		87.00		17.72
CL		2021-10		Call		87.50		0.01
CL		2021-10		Put		87.50		18.22
CL		2021-10		Call		88.00		0.01
CL		2021-10		Put		88.00		18.72
CL		2021-10		Call		88.50		0.01
CL		2021-10		Put		88.50		19.22
CL		2021-10		Call		89.00		0.01
CL		2021-10		Put		89.00		19.72
CL		2021-10		Call		89.50		0.01
CL		2021-10		Put		89.50		20.22
CL		2021-10		Call		90.00		0.01
CL		2021-10		Put		90.00		20.72
CL		2021-10		Call		90.50		0.01
CL		2021-10		Put		90.50		21.40
CL		2021-10		Call		91.00		0.01
CL		2021-10		Put		91.00		21.72
CL		2021-10		Call		91.50		0.01
CL		2021-10		Put		91.50		22.21
CL		2021-10		Call		92.00		0.01
CL		2021-10		Put		92.00		22.71
CL		2021-10		Call		92.50		0.01
CL		2021-10		Put		92.50		23.40
CL		2021-10		Call		93.00		0.01
CL		2021-10		Put		93.00		23.71
CL		2021-10		Call		93.50		0.01
CL		2021-10		Put		93.50		24.40
CL		2021-10		Call		94.00		0.01
CL		2021-10		Put		94.00		24.71
CL		2021-10		Call		94.50		0.01
CL		2021-10		Put		94.50		25.21
CL		2021-10		Call		95.00		0.01
CL		2021-10		Put		95.00		25.90
CL		2021-10		Call		95.50		0.01
CL		2021-10		Put		95.50		26.21
CL		2021-10		Call		96.00		0.01
CL		2021-10		Put		96.00		26.90
CL		2021-10		Call		96.50		0.01
CL		2021-10		Put		96.50		27.21
CL		2021-10		Call		97.00		0.01
CL		2021-10		Put		97.00		27.90
CL		2021-10		Call		97.50		0.01
CL		2021-10		Put		97.50		28.40
CL		2021-10		Call		98.00		0.01
CL		2021-10		Put		98.00		28.71
CL		2021-10		Call		98.50		0.01
CL		2021-10		Put		98.50		29.40
CL		2021-10		Call		99.00		0.01
CL		2021-10		Put		99.00		29.90
CL		2021-10		Call		99.50		0.01
CL		2021-10		Put		99.50		30.21
CL		2021-10		Call		100.00		0.01
CL		2021-10		Put		100.00		30.71
CL		2021-10		Call		100.50		0.01
CL		2021-10		Put		100.50		31.40
CL		2021-10		Call		101.00		0.01
CL		2021-10		Put		101.00		31.71
CL		2021-10		Call		101.50		0.01
CL		2021-10		Put		101.50		32.40
CL		2021-10		Call		102.00		0.01
CL		2021-10		Put		102.00		32.90
CL		2021-10		Call		102.50		0.01
CL		2021-10		Put		102.50		33.40
CL		2021-10		Call		103.00		0.01
CL		2021-10		Put		103.00		33.90
CL		2021-10		Call		103.50		0.01
CL		2021-10		Put		103.50		34.40
CL		2021-10		Call		104.00		0.01
CL		2021-10		Put		104.00		34.90
CL		2021-10		Call		104.50		0.01
CL		2021-10		Put		104.50		35.40
CL		2021-10		Call		105.00		0.01
CL		2021-10		Put		105.00		35.90
CL		2021-10		Call		105.50		0.01
CL		2021-10		Put		105.50		36.40
CL		2021-10		Call		106.00		0.01
CL		2021-10		Put		106.00		36.90
CL		2021-10		Call		106.50		0.01
CL		2021-10		Put		106.50		37.21
CL		2021-10		Call		107.00		0.01
CL		2021-10		Put		107.00		37.90
CL		2021-10		Call		107.50		0.01
CL		2021-10		Put		107.50		38.21
CL		2021-10		Call		108.00		0.01
CL		2021-10		Put		108.00		38.90
CL		2021-10		Call		108.50		0.01
CL		2021-10		Put		108.50		39.40
CL		2021-10		Call		109.00		0.01
CL		2021-10		Put		109.00		39.90
CL		2021-10		Call		109.50		0.01
CL		2021-10		Put		109.50		40.40
CL		2021-10		Call		110.00		0.01
CL		2021-10		Put		110.00		40.71
CL		2021-10		Call		110.50		0.01
CL		2021-10		Put		110.50		41.40
CL		2021-10		Call		111.00		0.01
CL		2021-10		Put		111.00		41.90
CL		2021-10		Call		111.50		0.01
CL		2021-10		Put		111.50		42.40
CL		2021-10		Call		112.00		0.01
CL		2021-10		Put		112.00		42.90
CL		2021-10		Call		112.50		0.01
CL		2021-10		Put		112.50		43.40
CL		2021-10		Call		113.00		0.01
CL		2021-10		Put		113.00		43.90
CL		2021-10		Call		113.50		0.01
CL		2021-10		Put		113.50		44.40
CL		2021-10		Call		114.00		0.01
CL		2021-10		Put		114.00		44.90
CL		2021-10		Call		114.50		0.01
CL		2021-10		Put		114.50		45.40
CL		2021-10		Call		115.00		0.01
CL		2021-10		Put		115.00		45.90
CL		2021-10		Call		115.50		0.01
CL		2021-10		Put		115.50		46.40
CL		2021-10		Call		116.00		0.01
CL		2021-10		Put		116.00		46.90
CL		2021-10		Call		116.50		0.01
CL		2021-10		Put		116.50		47.40
CL		2021-10		Call		117.00		0.01
CL		2021-10		Put		117.00		47.90
CL		2021-10		Call		117.50		0.01
CL		2021-10		Put		117.50		48.40
CL		2021-10		Call		118.00		0.01
CL		2021-10		Put		118.00		48.90
CL		2021-10		Call		118.50		0.01
CL		2021-10		Put		118.50		49.40
CL		2021-10		Call		119.00		0.01
CL		2021-10		Put		119.00		49.90
CL		2021-10		Call		119.50		0.01
CL		2021-10		Put		119.50		50.40
CL		2021-10		Call		120.00		0.01
CL		2021-10		Put		120.00		50.90
CL		2021-10		Call		120.50		0.01
CL		2021-10		Put		120.50		51.40
CL		2021-10		Call		121.00		0.01
CL		2021-10		Put		121.00		51.90
CL		2021-10		Call		121.50		0.01
CL		2021-10		Put		121.50		52.40
CL		2021-10		Call		122.00		0.01
CL		2021-10		Put		122.00		52.90
CL		2021-10		Call		122.50		0.01
CL		2021-10		Put		122.50		53.40
CL		2021-10		Call		123.00		0.01
CL		2021-10		Put		123.00		53.90
CL		2021-10		Call		123.50		0.01
CL		2021-10		Put		123.50		54.40
CL		2021-10		Call		125.00		0.01
CL		2021-10		Put		125.00		55.90
CL		2021-10		Call		127.50		0.01
CL		2021-10		Put		127.50		58.40
CL		2021-10		Call		130.00		0.01
CL		2021-10		Put		130.00		60.90
CL		2021-10		Call		132.50		0.01
CL		2021-10		Put		132.50		63.40
CL		2021-10		Call		135.00		0.01
CL		2021-10		Put		135.00		65.90
CL		2021-10		Call		137.50		0.01
CL		2021-10		Put		137.50		68.40
CL		2021-10		Call		140.00		0.01
CL		2021-10		Put		140.00		70.90
CL		2021-10		Call		142.50		0.01
CL		2021-10		Put		142.50		73.40
CL		2021-10		Call		145.00		0.01
CL		2021-10		Put		145.00		75.90
CL		2021-10		Call		147.50		0.01
CL		2021-10		Put		147.50		78.40
CL		2021-10		Call		150.00		0.01
CL		2021-10		Put		150.00		80.71
CL		2021-10		Call		152.50		0.01
CL		2021-10		Put		152.50		83.40
CL		2021-10		Call		155.00		0.01
CL		2021-10		Put		155.00		85.90
CL		2021-10		Call		157.50		0.01
CL		2021-10		Put		157.50		88.40
CL		2021-10		Call		160.00		0.01
CL		2021-10		Put		160.00		90.90
CL		2021-10		Call		162.50		0.01
CL		2021-10		Put		162.50		93.40
CL		2021-10		Call		165.00		0.01
CL		2021-10		Put		165.00		95.90
CL		2021-10		Call		167.50		0.01
CL		2021-10		Put		167.50		98.40
CL		2021-10		Call		170.00		0.01
CL		2021-10		Put		170.00		100.90
CL		2021-10		Call		172.50		0.01
CL		2021-10		Put		172.50		103.40
CL		2021-10		Call		175.00		0.01
CL		2021-10		Put		175.00		105.90
CL		2021-10		Call		180.00		0.01
CL		2021-10		Put		180.00		110.90
CL		2021-10		Call		185.00		0.01
CL		2021-10		Put		185.00		115.90
CL		2021-10		Call		190.00		0.01
CL		2021-10		Put		190.00		120.90
CL		2021-10		Call		195.00		0.01
CL		2021-10		Put		195.00		125.90
CL		2021-10		Call		200.00		0.01
CL		2021-10		Put		200.00		130.90
CL		2021-11		Call		0.50		68.34
CL		2021-11		Put		0.50		0.01
CL		2021-11		Call		1.00		67.84
CL		2021-11		Put		1.00		0.01
CL		2021-11		Call		1.50		67.34
CL		2021-11		Put		1.50		0.01
CL		2021-11		Call		2.00		66.84
CL		2021-11		Put		2.00		0.01
CL		2021-11		Call		2.50		66.34
CL		2021-11		Put		2.50		0.01
CL		2021-11		Call		3.00		65.84
CL		2021-11		Put		3.00		0.01
CL		2021-11		Call		3.50		65.34
CL		2021-11		Put		3.50		0.01
CL		2021-11		Call		4.00		64.84
CL		2021-11		Put		4.00		0.01
CL		2021-11		Call		4.50		64.34
CL		2021-11		Put		4.50		0.01
CL		2021-11		Call		5.00		63.84
CL		2021-11		Put		5.00		0.01
CL		2021-11		Call		5.50		63.34
CL		2021-11		Put		5.50		0.01
CL		2021-11		Call		6.00		62.84
CL		2021-11		Put		6.00		0.01
CL		2021-11		Call		6.50		62.34
CL		2021-11		Put		6.50		0.01
